Repo_Rank,Repo_Name,Repo_Forks_Count,Contributor_Rank,Contributor_Login_ID,Contributor_Commit_Count
1,vscode,14384,1,bpasero,8026
1,vscode,14384,2,joaomoreno,6834
1,vscode,14384,3,jrieken,6465
1,vscode,14384,4,isidorn,4862
1,vscode,14384,5,mjbvz,4853
1,vscode,14384,6,alexdima,4709
1,vscode,14384,7,sandy081,4199
1,vscode,14384,8,Tyriar,3339
1,vscode,14384,9,aeschli,3004
1,vscode,14384,10,roblourens,2359
1,vscode,14384,11,rebornix,1509
1,vscode,14384,12,weinand,1000
1,vscode,14384,13,chrmarti,925
1,vscode,14384,14,dbaeumer,813
1,vscode,14384,15,ramya-rao-a,758
1,vscode,14384,16,alexr00,696
1,vscode,14384,17,misolori,689
2,TypeScript,7966,1,ahejlsberg,3575
2,TypeScript,7966,2,sheetalkamat,2499
2,TypeScript,7966,3,mhegazy,2308
2,TypeScript,7966,4,DanielRosenwasser,2182
2,TypeScript,7966,5,andy-ms,2067
2,TypeScript,7966,6,sandersn,2012
2,TypeScript,7966,7,rbuckton,1599
2,TypeScript,7966,8,vladima,1533
2,TypeScript,7966,9,CyrusNajmabadi,1304
2,TypeScript,7966,10,weswigham,1261
2,TypeScript,7966,11,RyanCavanaugh,897
2,TypeScript,7966,12,JsonFreeman,674
2,TypeScript,7966,13,csigs,663
2,TypeScript,7966,14,zhengbli,467
2,TypeScript,7966,15,amcasey,397
2,TypeScript,7966,16,uniqueiniquity,256
2,TypeScript,7966,17,a-tarasyuk,255
3,Windows-universal-samples,7308,1,oldnewthing,169
3,Windows-universal-samples,7308,2,ChrisGuzak,1
3,Windows-universal-samples,7308,3,ontx,1
3,Windows-universal-samples,7308,4,turolla,1
3,Windows-universal-samples,7308,5,supratiksen,1
4,terminal,5669,1,miniksa,208
4,terminal,5669,2,DHowett-MSFT,182
4,terminal,5669,3,zadjii-msft,158
4,terminal,5669,4,carlos-zamora,57
4,terminal,5669,5,j4james,32
4,terminal,5669,6,cinnamon-msft,32
4,terminal,5669,7,skyline75489,17
4,terminal,5669,8,leonMSFT,17
4,terminal,5669,9,bitcrazed,17
4,terminal,5669,10,mkitzan,12
4,terminal,5669,11,waf,12
4,terminal,5669,12,ZoeyR,11
4,terminal,5669,13,LokiMidgard,10
4,terminal,5669,14,metathinker,10
4,terminal,5669,15,KaiyuWang16,9
4,terminal,5669,16,Summon528,9
4,terminal,5669,17,mcpiroman,8
5,sql-server-samples,4516,1,jodebrui,335
5,sql-server-samples,4516,2,JocaPC,305
5,sql-server-samples,4516,3,uc-msft,248
5,sql-server-samples,4516,4,perrysk-msft,136
5,sql-server-samples,4516,5,jovanpop-msft,126
5,sql-server-samples,4516,6,barbkess,115
5,sql-server-samples,4516,7,pmasl,108
5,sql-server-samples,4516,8,amitmsft,93
5,sql-server-samples,4516,9,alexprotsenko,79
5,sql-server-samples,4516,10,mihaelablendea,69
5,sql-server-samples,4516,11,DRediske,69
5,sql-server-samples,4516,12,TheBharath,62
5,sql-server-samples,4516,13,srdan-bozovic-msft,54
5,sql-server-samples,4516,14,ananto-msft,52
5,sql-server-samples,4516,15,NelGson,49
5,sql-server-samples,4516,16,jeroenterheerdt,43
5,sql-server-samples,4516,17,MikeRayMSFT,40
6,CNTK,4410,1,frankseide,2843
6,CNTK,4410,2,wilrich-msft,880
6,CNTK,4410,3,amitaga,738
6,CNTK,4410,4,mahilleb-msft,636
6,CNTK,4410,5,eldakms,581
6,CNTK,4410,6,jeanfad,523
6,CNTK,4410,7,zhouwangzw,453
6,CNTK,4410,8,chivee,418
6,CNTK,4410,9,n17s,380
6,CNTK,4410,10,dongyu888,367
6,CNTK,4410,11,ebarsoumMS,362
6,CNTK,4410,12,thilow,316
6,CNTK,4410,13,kaisheng,297
6,CNTK,4410,14,sayanpa,283
6,CNTK,4410,15,cha-zhang,274
6,CNTK,4410,16,ivrodr-msft,251
6,CNTK,4410,17,KeDengMS,249
7,BotBuilder-Samples,3392,1,johnataylor,277
7,BotBuilder-Samples,3392,2,sgellock,223
7,BotBuilder-Samples,3392,3,daveta,191
7,BotBuilder-Samples,3392,4,stevengum,169
7,BotBuilder-Samples,3392,5,JasonSowers,122
7,BotBuilder-Samples,3392,6,vishwacsena,121
7,BotBuilder-Samples,3392,7,benbrown,112
7,BotBuilder-Samples,3392,8,cleemullins,78
7,BotBuilder-Samples,3392,9,Virtual-Josh,77
